5	-1	171
5	-1	172
5	-1	173
5	-1	174
5	-1	175
5	-1	176
5	-1	177
5	-1	178
5	-1	179
5	-1	180
5	-1	181
5	-1	182
5	-1	183
5	-1	184
5	-1	185
5	-1	186
5	-1	187
5	-1	188
5	-1	189
5	-1	190
5	-1	191
5	-1	192
5	-1	193
5	-1	194
5	-1	195
5	-1	196
5	-1	197
5	-1	198
5	-1	199
2	0	0
2	0	1
2	0	2
2	0	3
2	0	4
2	0	5
2	0	6
2	0	7
2	0	8
2	0	9
2	0	10
2	0	11
2	0	12
2	0	13
2	0	14
2	0	15
2	0	16
2	0	17
2	0	18
2	0	19
2	0	20
2	0	21
2	0	22
2	0	23
2	0	24
2	0	25
2	0	26
2	0	27
2	0	28
2	0	29
2	0	30
2	0	31
2	0	32
2	0	33
2	0	34
2	0	35
2	0	36
2	0	37
2	0	38
2	0	39
2	0	40
2	0	41
2	0	42
2	0	43
2	0	44
2	0	45
2	0	46
2	0	47
2	0	48
2	0	49
2	0	50
2	0	51
2	0	52
2	0	53
2	0	54
2	0	55
2	0	56
2	0	57
2	0	58
2	0	59
2	0	60
2	0	61
2	0	62
2	0	63
2	0	64
2	0	65
2	0	66
2	0	67
2	0	68
2	0	69
2	0	70
2	0	71
2	0	72
2	0	73
2	0	74
2	0	75
2	0	76
2	0	77
2	0	78
2	0	79
2	0	80
2	0	81
2	0	82
2	0	83
2	0	84
2	0	85
2	0	86
2	0	87
2	0	88
2	0	89
2	0	90
2	0	91
2	0	92
2	0	93
2	0	94
2	0	95
2	0	96
2	0	97
2	0	98
2	0	99
2	0	100
2	0	101
2	0	102
2	0	103
2	0	104
2	0	105
2	0	106
2	0	107
2	0	108
2	0	109
2	0	110
2	0	111
2	0	112
2	0	113
2	0	114
2	0	115
2	0	116
2	0	117
2	0	118
2	0	119
2	0	120
2	0	121
2	0	122
2	0	123
2	0	124
2	0	125
2	0	126
2	0	127
2	0	128
2	0	129
2	0	130
2	0	131
2	0	132
2	0	133
2	0	134
2	0	135
2	0	136
2	0	137
2	0	138
2	0	139
2	0	140
2	0	141
2	0	142
2	0	143
2	0	144
2	0	145
2	0	146
2	0	147
2	0	148
2	0	149
2	0	150
2	0	151
2	0	152
2	0	153
2	0	154
2	0	155
2	0	156
2	0	157
2	0	158
2	0	159
2	0	160
2	0	161
2	0	162
2	0	163
2	0	164
2	0	165
2	0	166
2	0	167
2	0	168
2	0	169
2	0	170
2	0	171
2	0	172
2	0	173
2	0	174
2	0	175
2	0	176
2	0	177
2	0	178
2	0	179
2	0	180
2	0	181
2	0	182
2	0	183
2	0	184
2	0	185
2	0	186
2	0	187
2	0	188
2	0	189
2	0	190
2	0	191
2	0	192
2	0	193
2	0	194
2	0	195
2	0	196
2	0	197
2	0	198
2	0	199
